OTUID,PC1,PC2,PC3
2830936fa78b8eb81392f0ec13b0265e,-0.004772542,0.003078716,0.007096968
e03395f59773fe185bba1ba3801e16a3,0.017352379,-0.005172318,-0.013245935
7e2e78a9729f2b4c1c14a3ae0ba02c90,0.008236108,0.009138711,0.011505848
a15a81e782c92b760485857c5d2166a1,0.059520233,0.06393471,0.068498275
26edf7034861fee25cdbd5122b43ac4c,-0.008944299,0.005809042,0.012879399
562c7ec7474c10e6a9c297ae2e748abb,-0.006823204,-0.011759888,-0.017164057
8287c0f8871af1bd9ba7b2d9b843e6b5,-0.004133699,0.017778436,0.016342072
91391e316ea3c8782c0538df44a94889,-0.013257558,-0.003768027,-0.028522445
6bd371e6c96fc8cfcbed6b35f30986d7,-0.069894565,0.02121215,-0.050623803
53f5a9411633b7e35e9ee22cc9361d91,2.74E-05,-0.001067638,-0.000229587
83e200e6aa49b79396f052dd3db97e6b,-0.056312904,0.016944066,0.045609886
6e77dc22549bc580ea4a9b2960726633,-0.022676591,-0.003091731,0.019560523
4f38747c471b916678b11b424288eba1,0.141423215,-0.046895145,0.052102697
bf141f3e26b9dacd0031e06f7f4c5d73,0.075015061,-0.010219511,0.04875418
495b58edf87c64625f022d0a9311fdfb,-0.002820797,0.011832179,0.011113432
c2efd036d3cd38fa51a402cfde240c7f,0.034619961,-0.00645212,0.017220437
6f42e7b96e8a24791725bba34746006f,-0.001350239,-0.003185138,0.003358048
671647a7b6ca3a0f38dbc37ee2455a73,-0.023038343,0.027793631,-0.071003826
dfefd1601becbc23d361edaeaacc9b13,0.000536021,-0.003371174,-0.002255123
9388bbd7fed28eaaedeb7562b1d54cff,0.009546822,-0.043579694,-0.025815987
3ccb3cc712e0db60d7f9b06bde056a8a,-0.059233382,-0.181627296,-0.027755205
766ce8e61917254b65b9bd0080a454fb,-0.000719756,0.043732136,0.011428483
ef62ea4fdf71f8aaed2a6302cd24a663,0.022446766,0.024295308,0.029466372
02f7a1e1f9e36c93ee6d78dde2840444,-0.000961554,0.010947449,0.020579795
0fd27b83707067ed757bd57003750993,-0.012584879,0.075524827,-0.041711889
31f5108e417536069d7c965ba80fd3f1,0.001451785,-0.01649853,-0.005294646
409a8f17b61dc5b7ae27aeeef7998d1a,-0.084549788,0.028746728,-0.006774751
13145f7761fff8fe14387e399c140328,-0.001445435,0.003249366,0.00650048
f7ac00fde65dc7cc52461ee8fcccd69e,0.004689947,0.002346521,0.003050953
485637007c45f1cfeda9f4bb0533209b,0.001481541,-0.001014448,-0.001571757
a060b26dc01eeaf5310000ded21ed9ce,-0.026544633,0.039452063,0.043683526
c657c4c64078d386a5794708ba0541d4,0.002029962,0.004001478,0.005851644
6b4e287f62936fffb83649f43a1747a3,-0.02093712,0.006323263,0.017345951
