EC	ASV
EC:1.14.13.127	810c895632f1ea9ec591f195b0a9242a
EC:1.14.13.127	9db2817f5c42be6a7bcbca662959982d
EC:1.14.13.127	0aa6767415c3c1d08d147c80b16ec596
EC:1.14.13.127	1d2ad94e29f958bb8a3166d3dd57f549
EC:1.14.13.127	22d3af8c9a553870fff1c4d73ba4664d
EC:1.14.13.127	50cd083aab911d938d1ec95b952e0800
EC:1.14.13.127	7cb3d9a5d08396d891f90a8f7dd51a7f
EC:1.14.13.127	83e200e6aa49b79396f052dd3db97e6b
EC:1.14.13.127	a7773d30c5a2009a19ba2df73fe658c1
EC:1.14.13.127	ad070f7fc8b9581ea52f22bca9e3768c
EC:1.14.13.127	bd6383169ddd32592a82ccdb7511c186
EC:1.14.13.127	ffbb8c1350bd4458683c4cc180d8de07
EC:1.14.12.19	0aa6767415c3c1d08d147c80b16ec596
EC:1.14.12.19	22d3af8c9a553870fff1c4d73ba4664d
EC:1.14.12.19	7cb3d9a5d08396d891f90a8f7dd51a7f
EC:1.14.12.19	ffbb8c1350bd4458683c4cc180d8de07
EC:1.14.12.19	c95c29828395a6f53f96e96619916532
EC:1.3.1.87	0aa6767415c3c1d08d147c80b16ec596
EC:1.3.1.87	22d3af8c9a553870fff1c4d73ba4664d
EC:1.3.1.87	7cb3d9a5d08396d891f90a8f7dd51a7f
EC:1.3.1.87	ffbb8c1350bd4458683c4cc180d8de07
EC:1.3.1.87	c95c29828395a6f53f96e96619916532
EC:3.7.1.14	810c895632f1ea9ec591f195b0a9242a
EC:3.7.1.14	22d3af8c9a553870fff1c4d73ba4664d
EC:3.7.1.14	7cb3d9a5d08396d891f90a8f7dd51a7f
EC:3.7.1.14	ffbb8c1350bd4458683c4cc180d8de07
EC:3.7.1.14	c95c29828395a6f53f96e96619916532
EC:3.7.1.14	1d2ad94e29f958bb8a3166d3dd57f549
EC:3.7.1.14	a7773d30c5a2009a19ba2df73fe658c1
EC:3.7.1.14	ad070f7fc8b9581ea52f22bca9e3768c
EC:3.7.1.14	bd6383169ddd32592a82ccdb7511c186
EC:1.13.11.16	810c895632f1ea9ec591f195b0a9242a
EC:1.13.11.16	22d3af8c9a553870fff1c4d73ba4664d
EC:1.13.11.16	7cb3d9a5d08396d891f90a8f7dd51a7f
EC:1.13.11.16	ffbb8c1350bd4458683c4cc180d8de07
EC:1.13.11.16	c95c29828395a6f53f96e96619916532
EC:1.13.11.16	1d2ad94e29f958bb8a3166d3dd57f549
EC:1.13.11.16	a7773d30c5a2009a19ba2df73fe658c1
EC:1.13.11.16	ad070f7fc8b9581ea52f22bca9e3768c
EC:1.13.11.16	bd6383169ddd32592a82ccdb7511c186
EC:1.13.11.16	0aa6767415c3c1d08d147c80b16ec596
EC:2.1.1.35	7cb3d9a5d08396d891f90a8f7dd51a7f
EC:2.1.1.35	ffbb8c1350bd4458683c4cc180d8de07
EC:2.1.1.35	22d3af8c9a553870fff1c4d73ba4664d
EC:2.1.1.35	c95c29828395a6f53f96e96619916532
EC:2.1.1.35	1d2ad94e29f958bb8a3166d3dd57f549
EC:2.1.1.35	a7773d30c5a2009a19ba2df73fe658c1
EC:2.1.1.35	ad070f7fc8b9581ea52f22bca9e3768c
EC:2.1.1.35	bd6383169ddd32592a82ccdb7511c186
EC:2.1.1.35	0aa6767415c3c1d08d147c80b16ec596
EC:2.1.1.35	83e200e6aa49b79396f052dd3db97e6b
EC:2.1.1.35	28400033019ee7056b4fc6040af066cd
EC:2.1.1.35	322ca96a8ca2cb914e1165ed60e7b12b
EC:2.1.1.35	3232a4a8f72f61faa815b618d6890d45
EC:2.1.1.35	32ab1812bd3770f4b7f6aad7273783da
EC:2.1.1.35	3e8379736f1e8466c77b91217ef15d39
EC:2.1.1.35	4127ed1a1e8f9dac46c2895299b26505
EC:2.1.1.35	451100d9276895cc77455edff8fff92b
EC:2.1.1.35	4c294f9a88e58b0e40a2b19f4658c209
EC:2.1.1.35	501ef6cc75fb160180e332ba60a60df8
EC:2.1.1.35	55dee2d030fe20f0dc65fa50013f6bf3
EC:2.1.1.35	58b5685a1597c15a2d9c22dab5a18460
EC:2.1.1.35	5cba7b58b6db042a8d764b6862931954
EC:2.1.1.35	630860d80a9dc35ed55113eeb8a3e761
EC:2.1.1.35	6b9035dff933c31adf83cdd1aeba2bbd
EC:2.1.1.35	6c2a9a5a94270ee454cfb2dea1d31449
EC:2.1.1.35	6ecb363cbaa615df747e0376eec81ea9
EC:2.1.1.35	6fccfd872b46e650eb693b1d2e80a363
EC:2.1.1.35	7a5b875cf99ddb93b84ed03d5105530d
EC:2.1.1.35	8b74089f59b28e641f2c8c736707f8b2
EC:2.1.1.35	8d97ff127f62c80fbfd8179c507daa79
EC:2.1.1.35	900df8f4333124df384db9012a905941
EC:2.1.1.35	98fe1bdec256f6dd8c7f7ef9bc3056fb
EC:2.1.1.35	99b4b08d63c3459f7ad9f4a23395d664
EC:2.1.1.35	a86ce3f26b66da1717af3d881a02f1e2
EC:2.1.1.35	b09af138a26a3344961df9ea80806fb6
EC:2.1.1.35	c78b4eff98ee648b80b09c68867be26b
EC:2.1.1.35	cb3a451b5f9718c07b491a77b14ef21f
EC:2.1.1.35	d745fc64f659113458049f282e586d64
EC:2.1.1.35	da967222d4974b81b78ca79dcab227a0
EC:2.1.1.35	df5c1ef25ab497ab767dcbb6be082f83
EC:2.1.1.35	e7633f7cd02818be3e46bd6bae183eb2
EC:2.1.1.35	f02f4c216369c6a2e4ee447ffe47fddd
EC:2.1.1.35	fb6e8b121041ec1be9b14e22d0fbfde0
EC:1.13.11.3	1d2ad94e29f958bb8a3166d3dd57f549
EC:1.13.11.3	a7773d30c5a2009a19ba2df73fe658c1
EC:1.13.11.3	ad070f7fc8b9581ea52f22bca9e3768c
EC:1.13.11.3	bd6383169ddd32592a82ccdb7511c186
EC:1.13.11.3	83e200e6aa49b79396f052dd3db97e6b
EC:1.13.11.3	28400033019ee7056b4fc6040af066cd
EC:1.13.11.3	322ca96a8ca2cb914e1165ed60e7b12b
EC:1.13.11.3	3e8379736f1e8466c77b91217ef15d39
EC:1.13.11.3	6fccfd872b46e650eb693b1d2e80a363
EC:1.13.11.3	8d97ff127f62c80fbfd8179c507daa79
EC:1.13.11.3	b09af138a26a3344961df9ea80806fb6
EC:1.13.11.3	c78b4eff98ee648b80b09c68867be26b
EC:1.13.11.3	e7633f7cd02818be3e46bd6bae183eb2
EC:1.13.11.3	fb6e8b121041ec1be9b14e22d0fbfde0
EC:1.13.11.3	9db2817f5c42be6a7bcbca662959982d
EC:1.13.11.3	89b3ea69ce754890608e59d9116e9436
EC:1.13.11.3	f359d6b12d6df77fce3684238719e6c2
EC:1.13.11.3	8fc0fabfdf5e0826776c43e192eaeaf5
