SampleID,q0,q1,q2
Sa.F.D.28,141,67.50266205,40.20052115
Sa.F.D.30,147,33.07826587,8.46832892
Sa.F.D.33,79,29.98825931,15.48362265
Sa.F.D.35,165,69.40900345,27.31711107
Sa.M.D.27,104,69.18363459,44.68868126
Sa.M.D.29,89,40.39275168,19.07355302
Sa.M.D.31,98,59.05052705,39.18705058
Sa.M.D.32,143,70.4828778,33.34120825
Sa.M.D.36,161,56.23866169,28.36839093
Sb.F.D.37,92,67.81846662,49.70306884
Sb.F.D.39,168,74.01767746,36.48363314
Sb.F.D.44,226,140.1440284,96.79682097
Sb.F.D.45,164,107.0003054,76.00893479
Sb.M.D.38,166,99.90165253,60.44461253
Sb.M.D.41,75,51.7305093,37.12980051
Sb.M.D.42,172,106.0316852,62.81425615
Sb.M.D.43,144,77.07162097,40.84370123
Sb.M.D.46,111,73.89506289,50.11821619
