SampleID,q0,q1,q2
Sa.F.D.28,11.67177986,2.418614918,1.763330834
Sa.F.D.30,13.99374123,2.308110999,1.571632341
Sa.F.D.33,10.5270927,1.99901083,1.380911786
Sa.F.D.35,14.85698113,2.5149803,1.72445338
Sa.M.D.27,12.04251056,2.647924806,1.784516414
Sa.M.D.29,10.37613889,2.327081062,1.637437171
Sa.M.D.31,10.0154061,2.569412558,1.823782736
Sa.M.D.32,15.09994677,2.807679287,1.835698449
Sa.M.D.36,12.9982521,2.24454473,1.672630316
Sb.F.D.37,12.42086031,2.803575924,1.77205309
Sb.F.D.39,14.80323518,2.799350681,1.765563092
Sb.F.D.44,16.78404337,2.566756619,1.68467152
Sb.F.D.45,15.0466011,2.716408387,1.802959535
Sb.M.D.38,14.30255576,2.591622781,1.764503132
Sb.M.D.41,9.893181222,2.734923226,1.828761564
Sb.M.D.42,16.07172497,2.727999989,1.682731724
Sb.M.D.43,12.59691497,2.532722134,1.762800177
Sb.M.D.46,12.08541579,2.637833384,1.704203986
