OTUID,Sa.F.D.28,Sa.F.D.30,Sa.F.D.33,Sa.F.D.35,Sa.M.D.27,Sa.M.D.29,Sa.M.D.31,Sa.M.D.32,Sa.M.D.36,Sb.F.D.37,Sb.F.D.39,Sb.F.D.44,Sb.F.D.45,Sb.M.D.38,Sb.M.D.41,Sb.M.D.42,Sb.M.D.43,Sb.M.D.46
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillospira,218,155,13,176,99,109,74,184,160,46,299,229,165,190,4,232,62,152
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;__,1041,659,262,683,171,773,310,374,611,76,594,1531,745,1170,123,625,271,379
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;__,201,405,23,49,24,76,33,263,306,17,165,142,108,272,56,415,22,67
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Anaerotruncus,57,0,6,25,0,0,7,21,28,12,32,87,20,39,0,13,0,0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;__,32,0,1063,6,29,290,53,29,1109,0,1267,192,76,12,0,218,79,116
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;__;__,28,11,4,34,0,0,51,14,526,6,48,87,5,77,0,23,28,0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32;f__;g__,0,0,0,0,0,0,0,50,0,0,0,0,8,0,0,4,0,0
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemania,29,0,5,0,0,8,0,18,13,0,28,16,11,0,0,14,0,4
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__,13,59,43,0,0,26,0,0,51,25,91,34,132,70,0,51,86,23
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus,69,61,5,53,20,15,0,25,41,0,71,127,28,123,3,42,30,39
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae;g__rc4-4,8,0,6,8,0,0,117,0,12,4,0,147,11,118,0,27,11,17
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Dorea,12,36,0,28,0,0,18,0,10,0,0,66,0,0,0,32,0,21
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Cellulomonadaceae;__,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Bradyrhizobium,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus,0,0,0,11,0,10,23,0,23,0,58,81,29,39,0,0,16,48
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__[Eubacterium],6,19,0,21,8,11,0,38,0,0,0,0,20,70,0,14,0,10
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Serratia,28,3914,1017,0,17,25,29,137,376,18,0,23,21,40,22,0,0,113
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,1572,196,65,550,310,359,581,329,3015,128,468,613,289,382,191,269,345,122
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;__,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia,0,0,0,47,35,24,0,0,101,15,68,77,56,40,55,39,16,92
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0
k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter,0,6,0,0,64,0,0,0,0,4,0,6,9,2,0,52,5,69
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__,251,251,62,224,276,54,143,370,731,11,134,368,173,125,22,50,36,17
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Christensenellaceae;g__,0,12,9,0,25,0,0,19,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter,0,0,0,0,0,0,0,0,6,136,0,0,14,0,0,15,0,0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides,0,0,0,34,17,0,0,27,15,118,117,99,44,0,0,0,779,20
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__;g__,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;__,36,79,20,35,23,13,0,38,63,13,46,15,58,5,23,66,19,10
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__YS2;f__;g__,0,0,0,0,0,0,3,0,20,0,5,0,0,0,0,0,0,0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas,0,0,0,0,0,0,0,0,0,23,0,15,8,0,0,0,0,0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Aeromonadaceae;g__,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium,67,28,0,72,0,48,32,0,39,0,36,348,139,17,0,52,67,0
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Coprobacillus,21,11,0,20,11,65,15,67,45,10,304,65,42,107,35,83,0,8
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__Coxiellaceae;g__Rickettsiella,33,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Oxalobacter,0,14,0,0,0,0,0,0,18,0,9,9,9,0,6,7,0,4
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Mogibacteriaceae];g__,14,14,0,0,15,10,0,11,49,0,47,34,12,10,0,12,0,18
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Streptomycetaceae;__,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__[Chromatiaceae];g__Rheinheimera,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Citrobacter,0,0,97,0,0,0,0,14,0,0,0,377,182,0,0,304,131,184
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Akkermansia,0,22,0,18,54,0,359,197,21,66,348,82,62,43,85,45,105,45
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Paracoccus,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Sinobacteraceae;g__,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
