SampleID,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Odoribacteraceae];g__Odoribacter,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;Other,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillospira,k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Coprobacillus,k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Dorea,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;Other,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;Other;Other,k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__[Eubacterium],k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Mogibacteriaceae];g__,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__;g__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae;g__rc4-4,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Anaerotruncus,k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter,k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Akkermansia,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae;g__,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Oxalobacter,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__;g__,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;__;__,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Serratia,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;__;__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Mogibacteriaceae];__
Sa.F.D.28,6.283993893,7.198177059,1.86712683,2.370182897,6.053135245,-12.42376475,0.313372987,3.712457247,3.958134858,-0.112481809,1.369052564,2.339492012,2.257931245,-0.744122131,-5.647403907,0.447040918,-11.17373741,-7.315435408,-6.238897379,-1.256364445,0.868387828,-4.00006543,-0.8325026,2.292596266,-5.767751896,-5.259321321,-0.475158089,-9.550224496,1.043692644,2.314512707,-0.147683213,0.580303214,3.41831707,5.486329983,4.091215691,5.403841398,0.643953451,1.625940302,0.540730633,2.152058476,2.515800329,-0.202863459
Sa.F.D.30,5.141464382,4.5150224,3.487778841,2.074395497,6.406813758,-6.487760494,1.639135534,4.373867603,3.680367144,-0.722062798,1.536278376,2.913721097,1.577139859,1.345895462,-9.249893592,0.905186842,-7.813641747,-12.93461667,-4.925481368,0.620874468,1.599580311,1.348271968,-6.254798779,-8.462411673,-0.225194871,0.745730686,-20.04385025,-0.673994327,2.465190688,3.961085826,1.551376756,-2.588188412,1.536899793,5.348240147,5.158975248,3.76516492,-1.145712194,0.511149228,8.077082644,1.633187553,2.545002345,1.062727792
Sa.F.D.33,4.663140034,4.659192779,3.042610319,2.986955212,4.190346018,-3.39602656,-6.331554101,3.868051612,2.338252317,-0.757895444,1.628846898,4.334394562,1.181701051,-5.908128907,-4.727078996,1.395615763,-2.12833781,-2.835662184,-3.719348061,-6.409808259,-3.433402606,0.96021929,-0.077942612,-0.187033318,-1.144443293,2.378353298,-1.469308967,-2.074393573,1.401885859,2.047710021,-3.062780163,0.123439018,2.542046462,4.604076103,2.127875595,2.849487805,7.279746063,-10.81354042,7.210857238,1.318631774,-3.927532419,-6.7292174
Sa.F.D.35,5.403572656,5.414660958,4.568823157,2.987614099,4.913430448,-4.578728551,-0.652284438,3.899831847,3.841222326,0.324910901,0.897736526,0.6532039,2.450927768,1.169413264,1.37416734,5.623288525,-2.528553061,-8.085762798,-6.996681879,0.281984088,0.630829169,0.755631728,-1.242293461,1.959990242,-4.721046065,-0.240824461,0.544423106,-5.685856389,0.800032012,2.160768543,-1.635311892,0.520530212,-0.132933165,5.051850216,4.908258471,4.104616031,-1.927270429,1.578356068,-10.61994679,-9.424259773,2.789786301,-11.13810675
Sa.M.D.27,5.569785907,5.517917756,1.762897337,1.3048593,4.979678379,-1.529115231,0.891110402,5.303624701,4.015814146,0.60746589,-0.21728667,2.795838625,1.855442278,-3.242938177,-7.069337205,4.093835367,-10.37072441,-3.395411843,-9.377028616,-0.921212645,0.982516312,-6.027629335,-5.894170206,-2.042580569,2.726585483,2.631108366,-1.613514401,0.597638579,1.056819124,-8.192980286,1.52493234,-2.25375055,0.47029955,4.320027273,2.588246955,4.331214736,1.974354985,-1.262817235,1.128342822,2.170303291,2.346213863,-4.136376395
Sa.M.D.29,5.320833534,6.010771561,3.000240321,4.061232622,3.921321503,-11.31914999,1.098771641,2.789315143,4.161191612,2.806212384,2.651026584,1.106561534,0.668971239,-3.599722566,1.229506591,6.358411161,-3.148854595,-2.684981272,-4.909770461,0.577411775,0.945864094,1.291234577,-8.082250203,2.035247765,-9.870578059,-6.642366482,0.72674537,-7.05337753,0.609552581,2.516788274,-8.665484244,-10.11033943,2.168876528,6.217872334,3.595406999,1.228355191,4.712484481,1.691715409,1.426849491,0.287591936,2.935135781,-2.064625189
Sa.M.D.31,6.327481446,6.91293406,4.211788549,2.804100841,6.390488455,-3.049768488,1.57448563,5.305540509,3.904755211,1.47998257,0.482238699,1.500216786,-0.780868685,0.726792683,-3.371673277,4.922068541,-6.191642263,-4.175919365,-12.70761105,0.026731483,-7.545105214,2.687235024,3.937878229,-4.425286376,-3.250872003,5.499293087,-3.21660976,-15.72586027,-9.31361874,-5.851891586,0.194482925,0.933273209,3.496326576,4.560218827,2.735676044,3.163413232,1.990736501,1.941044963,1.697919959,-0.530826323,3.265654364,-2.535204997
Sa.M.D.32,5.61408496,5.640914256,3.501406304,-2.82782355,5.796894109,-8.036183099,-7.027503018,7.080317613,4.4408278,3.04208726,-4.569699786,1.162071822,2.883224065,-2.448294807,-4.274211423,-3.631728768,-4.478382204,-8.552179402,-6.295163415,2.296395695,1.638587755,0.470703142,-17.74174914,1.639813494,-4.701788211,4.20889658,1.413523226,-1.985459197,1.749543365,2.715712114,2.375532901,1.140315616,1.548908847,5.540722532,5.632010448,5.830117542,2.445816197,0.516912242,3.964050151,2.193971782,-8.46485148,-1.448344319
Sa.M.D.36,6.731373463,7.269398499,2.854784284,1.61299682,5.900832044,-6.922247735,0.271184477,4.706200797,2.901469745,0.994300151,-0.784660514,-0.004125677,2.026293674,-1.262394498,2.028052147,3.297692944,-5.130690483,-7.435257703,-3.703283762,-7.011888124,1.702048737,-7.397662457,-0.551294696,0.034128587,-9.664692182,-0.164341225,0.13943751,-1.389846783,1.502365998,0.47234695,-7.549593913,1.735748475,2.453535579,4.546902842,3.784206005,4.294834115,5.298718297,0.245771719,3.891260312,-12.01163202,1.375598827,-1.087871226
Sb.F.D.37,6.551425514,6.626785228,5.673872382,-1.998334046,6.715560004,-3.88289606,-2.260195396,3.21554922,4.455218423,1.963000615,-2.254318342,3.456106811,-7.30116802,-4.993306085,2.733829526,4.557368876,-7.984348427,-3.774576794,-6.163723684,-2.93921797,-3.655409866,-9.688076215,0.788337522,2.24081825,1.801090322,4.860989272,-4.071243116,-2.030772725,2.719144537,2.820905292,-3.867076528,-1.502121794,2.715956236,5.87081605,3.301082942,5.258486229,-0.72046321,2.433489395,3.105043734,-7.233798936,-8.085619099,0.541789932
