SampleID,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Odoribacteraceae];g__Odoribacter,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;Other,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillospira,k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Coprobacillus,k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Dorea,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;Other,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;Other;Other,k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__[Eubacterium],k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Mogibacteriaceae];g__,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__;g__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae;g__rc4-4,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Anaerotruncus,k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter,k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Akkermansia,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae;g__,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Oxalobacter,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__;g__,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;__;__,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Serratia,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;__;__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Mogibacteriaceae];__
Sb.F.D.37,6.551425514,6.626785228,5.673872382,-1.998334046,6.715560004,-3.88289606,-2.260195396,3.21554922,4.455218423,1.963000615,-2.254318342,3.456106811,-7.30116802,-4.993306085,2.733829526,4.557368876,-7.984348427,-3.774576794,-6.163723684,-2.93921797,-3.655409866,-9.688076215,0.788337522,2.24081825,1.801090322,4.860989272,-4.071243116,-2.030772725,2.719144537,2.820905292,-3.867076528,-1.502121794,2.715956236,5.87081605,3.301082942,5.258486229,-0.72046321,2.433489395,3.105043734,-7.233798936,-8.085619099,0.541789932
Sb.F.D.39,5.179970649,5.162833276,3.171125203,3.099518393,3.563648193,-8.230411256,0.838171726,4.052997266,4.348620881,3.597144964,2.397555271,1.123014319,2.100787169,0.586341403,1.178926071,4.596427337,-9.61857104,-8.90226068,-5.548962148,-15.80079033,1.419989058,0.336396254,-5.24550498,0.73750393,-9.615330383,3.817604575,0.394338889,-1.939147196,0.389657287,2.492781251,-0.141371722,-0.01326051,0.397571364,4.447855526,3.45678725,4.282534111,5.75560719,-0.990564127,-7.013110572,-0.274153409,0.961045785,-0.553316237
Sb.F.D.44,4.569393658,5.095240137,2.964127102,1.918795004,3.122785824,-6.14609018,-2.4594674,3.911076309,2.802261967,0.802365963,-0.524860975,2.443167097,1.627118378,0.886349964,0.463673148,2.654116567,-10.39111088,-10.87706782,-5.900775272,-9.442216019,0.034150342,1.352273788,2.014960907,1.708993547,-2.382643644,1.395833396,-7.073399119,-2.307706017,-1.405344084,-0.394664374,-0.381353531,0.611577745,1.644444504,5.862453699,3.338122432,3.018760651,3.637608738,-0.148590222,-0.751390325,-1.119049241,3.73515936,0.090918873
Sb.F.D.45,4.142266221,5.269003885,3.544974441,1.125184027,5.229265607,-16.23890056,-1.15282507,3.818699055,3.031862108,0.556044892,-1.390673962,1.600472205,-1.477883041,-0.560505815,1.291932592,3.211187022,-7.043756174,-5.378944397,-9.316042506,-0.371004515,-1.651917872,1.626217147,-0.883469925,1.050502941,-0.994753226,1.130694404,-8.442468437,-1.211513154,1.302450339,1.550425815,-0.726338504,0.394963689,2.088755077,4.896734396,2.822408429,3.457103515,2.812926887,0.340923185,-0.231049097,-0.600128611,2.591984668,-1.214807676
Sb.M.D.38,4.356176829,6.048881365,3.633221738,2.337827072,4.887516255,-12.39471445,1.137140224,3.453086195,3.749661412,2.509880109,1.376776285,1.271718689,2.11704218,-6.240044869,0.392613947,4.320254652,-5.191803331,-6.639163674,-10.61174969,1.784181051,0.827339315,1.1446039,2.135939829,1.286819356,-1.868733305,0.527449461,-7.849428316,-7.886433988,-2.023008146,-4.697390809,0.350995224,0.466944979,1.964336888,5.799625109,4.354779127,3.900937792,-0.579084313,1.281513704,0.653604006,0.032321741,-0.147134054,-1.974499489
Sb.M.D.41,6.092242743,6.91148481,4.688402571,2.999691856,5.664098243,-6.067303325,-3.043863737,4.753185686,1.190744664,3.409076502,1.768719641,-2.102637316,2.458920524,2.179385033,4.791698762,-8.956577622,-2.780364585,-2.176973575,-7.853863761,-8.307801464,-0.16078034,2.936879918,-2.777763038,-6.667375631,-13.14183237,4.910124623,-17.28494727,2.243273704,3.349862857,4.51387614,2.186706934,-2.385421796,3.394389751,5.593724578,5.287319178,-1.860371897,-5.116136214,2.517855607,3.306091807,2.40007792,-0.66812516,1.804305046
Sb.M.D.42,3.608020641,4.33790824,3.797251343,0.744313143,3.233952322,-9.980881563,1.246124985,3.10790501,3.426659136,1.978319232,1.45886204,-1.233351175,1.155773538,0.583320858,1.04832586,2.681155779,-11.34343709,-11.44227593,-10.91998233,-1.036603692,-0.539400849,0.414717972,0.042325915,0.404129718,1.282330363,1.126692419,-1.152978971,-1.945211631,1.326812217,2.760070501,0.408796853,-2.211731317,0.452040807,5.219402569,4.516249358,3.92290351,4.220939353,-0.058853997,-5.344048403,-1.873381415,1.239384676,-0.662550003
Sb.M.D.43,6.649890327,6.144548687,5.097291536,-7.21712499,6.059395772,-4.290098054,-0.45983841,2.962382597,2.571468683,-2.897786614,-3.146712553,3.244951415,-0.379827259,-5.80447653,1.224379016,2.599125499,-6.555434487,-9.379209007,-3.845483049,-4.455442109,-0.32871686,0.326295462,0.553298473,-0.237190047,0.068956707,3.225628365,-1.446342139,-4.516536316,0.27944697,1.289175986,-4.523043004,-1.771019654,2.029111976,5.504417556,3.452253654,5.912941774,4.003702011,0.577161285,-3.665015073,1.582020551,2.803908879,-3.242457028
Sb.M.D.46,4.152814798,5.579572096,3.504965159,-0.248205114,4.529110478,-12.73302857,1.165853478,3.338735821,4.259766407,0.281897974,2.432118095,3.03570336,1.195042001,3.01007494,2.720162989,4.189593633,-7.593638486,-9.241427394,-3.698072314,0.546353973,1.560800978,-1.061005527,0.979542534,-7.181431461,3.194673073,2.681827648,-0.615361446,-0.753578861,0.381612194,1.290687251,0.169850102,0.862514524,0.272345052,5.750611812,4.114750052,3.255669812,5.150292331,-0.527828789,3.981919237,-16.7188132,-4.169028553,-13.04744208
ZA.H5.E79,5.418954666,6.727712569,4.513540943,6.699689319,3.012539991,3.397800037,3.549321946,2.967282534,3.833793648,1.434588284,2.858157587,2.407166029,1.294221251,1.959392614,0.731828004,1.777942827,1.112955945,-1.435287498,0.222540194,3.142532485,-1.651643399,-0.605590454,-0.642772469,-1.259497658,1.259574599,-1.562398565,-0.884831042,-5.870667801,-0.876850651,-2.281824425,1.370718099,1.056872609,-9.345576033,-4.55461277,-7.142825729,-2.901866683,-4.290009265,-6.648912358,-4.026475675,-1.075894155,-2.029428399,-1.662161151
