SampleID,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Odoribacteraceae];g__Odoribacter,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;Other,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillospira,k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Coprobacillus,k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Dorea,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;Other,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;Other;Other,k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__[Eubacterium],k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemania
ZA.H12.E86,5.524046774,4.053406101,3.684189024,2.538750795,3.139263121,2.61629538,1.822145845,1.873992823,2.167186275,1.932696645,2.130908006,-0.913203774,-6.83517416,-3.402619292,0.131068359,1.578745516,-4.611670845,-3.850727808,-0.355067555,-11.61748564,-1.606745587
ZA.H14.E88,6.265797253,5.212805999,0.813551964,2.987427126,3.910642753,3.060115109,3.016066554,1.653326959,1.757518726,-1.785856133,-1.38785049,-11.27785338,-1.396987859,-3.931744367,1.244655742,0.061022112,1.581951523,0.385925292,0.050951996,-7.886627336,-4.334839539
ZA.H15.E89,5.066363783,2.466168019,2.060990586,3.719449515,3.005099462,0.080662486,1.108258585,-1.465620653,1.833723795,-0.403179762,-3.087572248,0.455501838,1.317888964,1.697518141,2.055647736,-9.984474698,-4.377442373,0.187200812,-2.295782988,0.216088388,-3.656489387
ZA.H17.E91,4.547171198,4.54691761,0.80061071,3.166679462,2.663792759,2.189529787,-2.996319785,0.326440251,1.662445717,0.157554259,-1.515758554,-3.122117493,-2.682286862,0.231407908,-2.714975093,-1.502695289,0.096540437,0.699281352,-3.018029761,-0.380319995,-3.155868619
ZA.H20.E94,3.966093886,2.302176306,3.796072165,2.416248999,3.01902076,2.294746121,0.393531911,2.470028618,0.887209568,1.695338649,-1.361403324,-1.118169489,-5.454136232,-1.579674636,0.005319651,0.106530386,-1.918698634,-2.66818685,-4.304495293,-4.132566735,-0.814985829
ZA.H21.E95,3.261325188,2.250876246,1.6610636,3.260305409,2.254260333,2.166232017,1.356695572,0.604911826,1.786719635,-1.321666617,-2.621417774,-0.750164645,1.284016981,-2.312267782,-1.34702896,-0.648618527,-1.199257775,-1.443829988,-1.179332844,-2.54092899,-4.521892905
ZA.H23.E97,5.18528203,3.779964964,2.105330349,3.755904431,4.980985338,3.588315953,1.001916131,0.247479885,1.189433069,-1.136444835,0.420968079,-0.772565773,-0.348789938,-3.314598819,-3.169185268,-2.850967128,0.647018244,0.945632696,-9.580565816,1.785798901,-8.460912495
ZA.H26.E100,5.434334314,3.830814858,2.332795839,1.977435332,4.201249295,3.208138851,2.341026293,2.84584648,2.670916626,-0.654814929,-1.765191907,-3.530370747,-0.313258559,-0.443282244,2.192308362,0.471858118,-1.581725701,-0.206391947,0.998669425,-2.427715144,-21.58264262
ZA.H3.E77,3.270124108,2.419812921,0.458755148,3.906169629,1.858602725,0.63598264,1.820199652,-0.000261537,1.034400979,0.89124441,0.311323554,-0.149230384,-1.565737346,0.687300275,-0.218466413,-1.282691226,-4.756975012,-2.969264577,-1.254419277,0.783573904,-5.880444176
ZA.H4.E78,4.542956309,3.842373865,1.621961415,2.555555208,-1.174916682,1.855167601,2.467029932,1.59993328,0.722913682,-1.405644454,-3.435396811,-4.657822883,-0.728606953,-2.830794736,1.147314217,-0.493026363,0.136193367,0.313422336,-0.354289962,-2.574532226,-3.149790141
