SampleID,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Odoribacteraceae];g__Odoribacter,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;Other,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillospira,k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Coprobacillus,k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Dorea,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;Other,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;Other;Other,k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__[Eubacterium],k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Mogibacteriaceae];g__,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__;g__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae;g__rc4-4,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Anaerotruncus,k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter,k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Akkermansia,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae;g__,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Oxalobacter,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__;g__,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;__;__,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Serratia,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;__;__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Mogibacteriaceae];__
Sa.F.D.28,6.148747479,7.090042185,1.885308693,2.056117696,5.922391972,-4.716099383,0.759868752,3.640499391,3.812413029,-0.11129835,1.323384818,2.035140946,2.122720166,-0.091902053,-9.229804294,0.469614187,-3.934019642,-8.859964228,-9.376773751,-1.7018194,0.433063361,-9.92755007,-1.022080679,2.029215614,-6.119686552,-5.206814277,-0.459461074,-5.341551611,0.88175635,2.069875826,-0.233043285,-0.556950573,3.415748019,5.396297759,3.972708686,5.209577884,0.61208365,1.178669308,0.315900578,1.969707708,2.196695557,-0.058730394
Sa.F.D.30,4.806468248,4.172723326,2.879379459,1.514402175,6.004645153,-4.155759067,1.016125402,4.028269175,3.377109184,-1.043237821,0.616137653,2.662115827,1.501483293,0.744931251,-8.354327154,0.746579138,-5.412184922,-5.434530527,-6.976590185,-0.549238009,0.847474606,0.820193056,-15.82583232,-3.525687363,-0.972459,0.095212974,-10.00246418,-0.566319516,2.054949163,3.664756415,0.582770337,-3.442540303,1.162553784,5.074816492,4.884496222,3.218722149,-1.10931927,-0.22239182,7.718832014,1.09438939,1.971987625,0.331357949
Sa.F.D.33,5.999809749,5.857572765,4.499868993,3.861807365,5.869585236,-13.36398515,-20.29431535,5.315804483,4.101689108,-7.515476247,3.186792984,5.504882893,2.935151738,0.257557377,-2.261984004,2.445545362,-2.420691656,-7.627265908,-3.154077005,-1.632502227,-4.238142509,2.635758049,1.921089163,1.565665724,-13.18049301,3.906969533,-1.970137449,-6.281704083,2.94804608,3.480162696,-2.726452028,1.592109043,3.942301308,6.016563523,3.817599745,4.354132374,8.742966039,-5.315369093,8.508574138,2.648359714,-3.504171595,-10.42959787
Sa.F.D.35,5.120532739,5.290461203,4.453395088,2.694351316,4.597579505,-6.861834343,-0.594522788,3.671273291,3.525308957,-0.340538907,1.267592947,0.074650294,2.131907894,0.795542056,0.730046205,5.374514803,-5.165332042,-3.901513452,-7.025981443,-0.112059465,0.613107526,0.875581337,-1.528965788,1.932075267,-8.582080808,-0.065510538,0.215848101,-5.590499483,0.415107616,1.901141033,-0.391254133,0.848721965,-0.063112514,4.874045889,4.67027781,3.847629305,-2.610660597,1.274652309,-5.683722171,-10.22046991,2.70717481,-5.164460888
Sa.M.D.27,6.030583816,6.028657789,1.174603829,1.827037817,5.191020074,-3.655352246,1.692520693,5.930559176,4.133023471,-0.169724397,0.167783176,3.072743519,1.779390698,-8.073636888,-7.912847134,4.682933049,-5.490934158,-6.533829629,-6.688471218,-0.806751415,1.777126091,-6.090173621,-9.775158943,-5.704208373,3.567064905,3.46625357,-2.546424293,-1.390077506,1.910099682,-5.805475541,2.236979692,-2.565020036,0.260452989,4.874001475,3.288482992,4.726897103,2.768141531,0.490550372,1.661125166,2.139540817,2.266862919,-3.936351013
Sa.M.D.29,5.303180527,5.831837656,3.264539174,3.982275245,3.628014037,-3.978387955,0.792499819,3.082429363,4.021161336,2.639418638,2.248747666,1.198654433,0.428638536,-2.567699179,1.308855643,6.244307334,-9.304800259,-12.99023061,-6.702056581,0.554385494,-0.033502181,1.509700028,-2.45421192,1.927254378,-17.40570341,-6.251778728,0.321706999,-3.961348545,0.927095554,2.848179696,-2.010804934,-7.924229846,2.31017366,6.206706737,3.743201788,1.513762604,4.400164444,0.93160953,2.360710531,0.779503884,2.864657778,-1.588618367
Sa.M.D.31,6.452621927,6.99814395,4.311915265,2.945303348,6.713634122,-2.943036991,1.433497783,5.510329531,3.837779582,0.689202768,0.869020987,1.606876892,-0.182901362,1.908737523,-1.880828706,5.305003315,-7.056403386,-6.642643286,-2.279762625,0.180629937,-3.207709795,2.482018795,4.135952506,-8.510952543,-3.989737592,5.529371751,-12.90677313,-16.37647516,-5.978096292,-5.286950624,0.58760395,1.033723632,3.627887844,4.506280473,2.85117715,3.475679023,2.326488589,2.10363307,2.191523468,0.378138337,3.489849354,-10.23975339
Sa.M.D.32,5.248823036,5.13978801,2.759964458,-4.898935549,5.216872163,-3.641033615,-7.993737471,6.683686107,4.010571199,2.411594241,-4.487476015,0.404943827,2.50636684,-4.723879332,-5.01903509,-6.492810751,-5.684450371,-4.920948891,-6.874163747,1.761665179,1.51914097,0.37312476,-3.747784551,1.783234702,-5.363051142,3.995200245,0.704089695,-1.497394224,1.578331065,2.100453109,1.25775923,0.534911552,1.077872864,5.27496282,5.205219398,5.380578735,1.806015079,0.275306301,3.657225234,1.762864571,-7.208467352,-1.877397291
Sa.M.D.36,7.07507442,7.622967687,3.154259772,1.358970462,6.288980242,-3.434649223,0.236394292,5.099841011,3.137419799,1.167806725,-0.1298665,-0.276186479,2.469484527,-1.38387113,2.159030682,3.637214338,-11.67294416,-12.03472295,-12.22162487,-10.77796313,1.90993932,-8.047335973,-0.609583989,0.575848831,-4.759039885,-0.347549081,0.420160333,-0.256877567,1.673427928,0.953155024,-4.257580432,2.237720812,2.724316557,4.895138019,4.169774044,4.723066883,5.664791026,0.048042839,4.055276015,-8.270585755,1.735189203,-0.712909675
Sb.F.D.37,6.861599009,6.902505318,6.067389662,-9.922353301,7.254226601,-1.773025773,-2.176578801,4.296138846,4.984988313,3.315356729,-2.51213884,3.638803443,-2.410336307,-7.409494556,2.931920771,5.369900661,-10.55243111,-13.94503673,-1.009210999,-3.969315611,-2.411163856,-2.056727933,1.511991272,3.414292562,0.323678186,5.527507658,-6.408996914,-1.013628757,3.222067451,3.819810894,-6.122918048,-8.695256069,2.692437166,6.773682188,3.728422878,5.790334044,-6.132678037,2.40694907,3.859845679,-1.595043617,-6.892950135,2.315436986
