#OTU ID	Sa.F.D.28	Sa.F.D.30	Sa.F.D.33	Sa.F.D.35	Sa.M.D.27	Sa.M.D.29	Sa.M.D.31	Sa.M.D.32	Sa.M.D.36	Sb.F.D.37	Sb.F.D.39	Sb.F.D.44	Sb.F.D.45	Sb.M.D.38	Sb.M.D.41	Sb.M.D.42	Sb.M.D.43	Sb.M.D.46	ZA.H12.E86	ZA.H14.E88	ZA.H15.E89	ZA.H17.E91	ZA.H20.E94	ZA.H21.E95	ZA.H23.E97	ZA.H26.E100	ZA.H3.E77	ZA.H4.E78	ZA.H5.E79	ZA.H7.E81	ZA.H8.E82	ZA.H9.E83	ZA.M1.E75	ZA.M10.E84	ZA.M11.E85	ZA.M13.E87	ZA.M16.E90	ZA.M18.E92	ZA.M22.E96	ZA.M25.E99	ZA.M6.E80	ZB.H1.E26	ZB.H10.E35	ZB.H11.E36	ZB.H12.E37	ZB.H13.E38	ZB.H14.E39	ZB.H15.E40	ZB.H16.E41	ZB.H17.E42	ZB.H18.E43	ZB.H2.E27	ZB.H20.E45	ZB.H21.E46	ZB.H3.E28	ZB.H4.E29	ZB.H5.E30	ZB.H6.E31	ZB.H7.E32	ZB.H8.E33	ZB.H9.E34	ZB.M1.E1	ZB.M10.E11	ZB.M12.E14	ZB.M13.E15	ZB.M14.E16	ZB.M16.E18	ZB.M17.E19	ZB.M18.E20	ZB.M19.E21	ZB.M2.E2	ZB.M20.E22	ZB.M21.E23	ZB.M22.E24	ZB.M4.E4	ZB.M6.E6	ZB.M7.E7	ZB.M8.E8	ZB.M9.E10
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Odoribacteraceae];g__Odoribacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	35	11	13	35	140	102	39	17	30	21	39	7	14	6	22	28	41	137	139	45	86	16	20	100	155	48	89	64	53	22	34	45	61	79	91	0	46	27	6	13	91	40	11	26	26	11	21	29	34	59	26	7	37	7	28	4	12	30	44	8
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	1572	196	65	550	310	359	581	329	3015	128	468	613	289	382	191	269	345	122	200	319	112	97	129	302	353	146	87	182	219	251	62	44	87	45	112	177	320	411	160	113	115	100	291	377	205	223	253	228	259	143	192	176	416	243	0	263	208	51	126	192	274	130	234	67	69	100	206	205	134	91	65	155	39	215	195	72	348	227	67
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides	0	0	0	34	17	0	0	27	15	118	117	99	44	0	0	0	779	20	53	139	26	92	38	153	128	54	46	99	77	114	37	14	30	17	55	68	101	191	91	139	37	50	261	159	117	129	193	137	87	86	78	33	57	147	0	105	155	95	108	124	164	58	102	32	74	40	43	74	65	91	30	38	15	30	25	28	78	118	23
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Rikenellaceae	251	251	62	224	276	54	143	370	731	11	134	368	173	125	22	50	36	17	37	59	29	32	56	152	280	81	38	9	20	59	17	56	16	39	36	34	179	197	99	180	23	49	116	105	39	38	84	79	24	43	49	70	26	93	0	82	17	6	44	62	41	9	33	64	8	17	43	42	18	36	0	64	4	32	10	55	28	53	17
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Mogibacteriaceae;g__Mogibacteriaceae	14	14	0	0	15	10	0	11	49	0	47	34	12	10	0	12	0	18	2	3	0	2	0	8	1	0	12	4	1	11	0	2	0	0	4	0	4	3	2	2	1	1	2	1	2	2	0	1	0	0	2	0	0	4	0	0	1	1	0	0	3	0	2	5	0	0	0	1	0	1	0	0	0	0	0	0	1	5	1
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae	1041	659	262	683	171	773	310	374	611	76	594	1531	745	1170	123	625	271	379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae2;g__Lachnospiraceae2	0	0	18	90	0	0	0	0	49	0	18	43	13	82	0	0	0	27	31	27	44	19	35	305	124	13	163	43	251	294	18	86	141	2	25	130	126	122	123	21	95	19	124	137	165	164	40	90	133	107	53	43	114	164	0	27	86	7	172	135	124	105	121	4	20	95	125	24	44	67	19	40	62	24	100	2	95	141	150
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia	0	0	0	47	35	24	0	0	101	15	68	77	56	40	55	39	16	92	3	0	7	6	3	6	1	3	21	0	3	13	0	15	5	4	3	16	1	1	3	1	5	25	40	11	4	2	49	21	6	11	1	14	1	15	0	75	5	3	3	0	0	3	3	1	2	0	1	24	42	0	0	19	4	12	1	29	9	1	3
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium	67	28	0	72	0	48	32	0	39	0	36	348	139	17	0	52	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus	0	0	0	11	0	10	23	0	23	0	58	81	29	39	0	0	16	48	0	1	7	1	0	74	8	1	3	5	13	25	3	2	5	1	1	8	24	7	36	5	19	0	8	6	12	22	0	2	6	13	20	2	8	9	0	5	1	1	7	11	11	37	7	1	10	2	6	2	3	6	3	2	3	1	0	0	13	3	0
