OTUID,Sa.F.D.28,Sa.F.D.30,Sa.F.D.33,Sa.F.D.35,Sa.M.D.27,Sa.M.D.29,Sa.M.D.31,Sa.M.D.32,Sa.M.D.36
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,1572,196,65,550,310,359,581,329,3015
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__,251,251,62,224,276,54,143,370,731
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillospira,218,155,13,176,99,109,74,184,160
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;__,1041,659,262,683,171,773,310,374,611
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;__,201,405,23,49,24,76,33,263,306
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;__,36,79,20,35,23,13,0,38,63
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Coprobacillus,21,11,0,20,11,65,15,67,45
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia,23,27,14,991,165,670,255,0,281
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus,69,61,5,53,20,15,0,25,41
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;__,32,0,1063,6,29,290,53,29,1109
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Serratia,28,3914,1017,0,17,25,29,137,376
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;__;__,28,11,4,34,0,0,51,14,526
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Akkermansia,0,22,0,18,54,0,359,197,21
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Mogibacteriaceae];g__,14,14,0,0,15,10,0,11,49
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Anaerotruncus,57,0,6,25,0,0,7,21,28
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium,67,28,0,72,0,48,32,0,39
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__[Eubacterium],6,19,0,21,8,11,0,38,0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__,13,59,43,0,0,26,0,0,51
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae;g__rc4-4,8,0,6,8,0,0,117,0,12
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__,15,44,0,0,10,0,22,16,0
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemania,29,0,5,0,0,8,0,18,13
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Dorea,12,36,0,28,0,0,18,0,10
