OTUID,Sa.F.D.28,Sa.F.D.30,Sa.F.D.33,Sa.F.D.35,Sa.M.D.27,Sa.M.D.29,Sa.M.D.31,Sa.M.D.32,Sa.M.D.36,Sb.F.D.37,Sb.F.D.39,Sb.F.D.44,Sb.F.D.45,Sb.M.D.38,Sb.M.D.41,Sb.M.D.42,Sb.M.D.43,Sb.M.D.46
2830936fa78b8eb81392f0ec13b0265e,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0
e03395f59773fe185bba1ba3801e16a3,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0
7e2e78a9729f2b4c1c14a3ae0ba02c90,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8c75ac6bca28bdfea86c8cf4fa2cd245,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a15a81e782c92b760485857c5d2166a1,147,0,0,0,27,0,67,0,141,22,33,0,0,0,0,0,0,0
26edf7034861fee25cdbd5122b43ac4c,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0
562c7ec7474c10e6a9c297ae2e748abb,0,0,0,17,0,0,11,0,0,0,0,0,0,0,0,0,0,14
8287c0f8871af1bd9ba7b2d9b843e6b5,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0
91391e316ea3c8782c0538df44a94889,0,0,0,10,0,0,11,0,0,0,0,21,0,0,0,0,0,0
6bd371e6c96fc8cfcbed6b35f30986d7,0,0,0,0,0,0,7,0,9,0,0,19,0,0,0,0,0,0
53f5a9411633b7e35e9ee22cc9361d91,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0
83e200e6aa49b79396f052dd3db97e6b,0,0,0,0,0,0,0,0,0,0,537,0,0,0,0,0,0,0
6e77dc22549bc580ea4a9b2960726633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0
4f38747c471b916678b11b424288eba1,0,0,0,0,0,0,34,14,502,0,21,38,0,0,0,13,0,0
bf141f3e26b9dacd0031e06f7f4c5d73,0,0,0,0,0,0,0,25,183,0,0,0,44,0,14,20,0,0
495b58edf87c64625f022d0a9311fdfb,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0
c2efd036d3cd38fa51a402cfde240c7f,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0
6f42e7b96e8a24791725bba34746006f,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0
0ec296418d8cc2cf9ff123dc3e2a0c90,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
671647a7b6ca3a0f38dbc37ee2455a73,29,0,5,0,0,0,0,18,13,0,28,16,11,0,0,14,0,4
dfefd1601becbc23d361edaeaacc9b13,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0
bb70ab5bf1e4c399790d394a98fb5201,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
9388bbd7fed28eaaedeb7562b1d54cff,10,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0
3ccb3cc712e0db60d7f9b06bde056a8a,8,0,6,8,0,0,117,0,12,4,0,147,11,118,0,27,11,17
