OTUID,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillospira,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;__,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;__,k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Akkermansia,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia,k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Coprobacillus,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae;g__rc4-4,k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Serratia,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Mogibacteriaceae];g__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Anaerotruncus,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Oxalobacter,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__,k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemania,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Citrobacter,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas,k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__[Eubacterium],k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Dorea,k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Odoribacteraceae];g__Odoribacter
Sa.F.D.28,1572,251,218,1041,201,36,0,0,21,23,69,32,8,0,28,14,57,67,0,0,0,15,29,0,0,0,6,12,10,0
Sa.F.D.30,196,251,155,659,405,79,22,0,11,27,61,0,0,6,3914,14,0,28,0,0,14,44,0,0,0,0,19,36,20,0
Sa.F.D.33,65,62,13,262,23,20,0,0,0,14,5,1063,6,0,1017,0,6,0,0,0,0,0,5,18,97,0,0,0,18,0
Sa.F.D.35,550,224,176,683,49,35,18,47,20,991,53,6,8,0,0,0,25,72,34,11,0,0,0,90,0,0,21,28,0,0
Sa.M.D.27,310,276,99,171,24,23,54,35,11,165,20,29,0,64,17,15,0,0,17,0,0,10,0,0,0,0,8,0,0,0
Sa.M.D.29,359,54,109,773,76,13,0,24,65,670,15,290,0,0,25,10,0,48,0,10,0,0,8,0,0,0,11,0,12,0
Sa.M.D.31,581,143,74,310,33,0,359,0,15,255,0,53,117,0,29,0,7,32,0,23,0,22,0,0,0,0,0,18,0,0
Sa.M.D.32,329,370,184,374,263,38,197,0,67,0,25,29,0,0,137,11,21,0,27,0,0,16,18,0,14,0,38,0,0,0
Sa.M.D.36,3015,731,160,611,306,63,21,101,45,281,41,1109,12,0,376,49,28,39,15,23,18,0,13,49,0,0,0,10,0,0
ZB.H1.E26,100,49,4,0,0,0,0,25,2,13,7,0,0,0,0,1,1,0,50,0,0,3,0,19,0,0,32,45,10,20
ZB.H10.E35,291,116,45,0,0,0,0,40,57,34,10,0,0,3,0,2,1,0,261,8,0,16,8,124,0,0,11,5,7,100
ZB.H11.E36,377,105,61,0,0,0,2,11,10,2,10,0,0,0,0,1,0,0,159,6,0,25,4,137,0,0,5,3,15,155
ZB.H12.E37,205,39,40,0,0,0,0,4,7,3,12,0,2,4,0,2,4,0,117,12,0,20,5,165,0,0,4,2,7,48
ZB.H13.E38,223,38,51,0,0,0,0,2,1,1,11,0,14,2,0,2,0,0,129,22,0,26,1,164,0,0,10,5,12,89
ZB.H14.E39,253,84,23,0,0,0,0,49,15,16,0,0,0,2,0,0,0,0,193,0,0,7,0,40,0,0,2,4,16,64
ZB.H15.E40,228,79,20,0,0,0,0,21,10,7,4,0,0,0,0,1,1,0,137,2,0,11,4,90,0,0,12,12,17,53
ZB.H16.E41,259,24,30,0,0,0,0,6,20,8,15,0,0,0,0,0,1,0,87,6,0,18,0,133,0,0,15,15,10,22
ZB.H17.E42,143,43,39,0,0,0,0,11,34,2,27,0,1,0,0,0,3,0,86,13,0,20,2,107,0,0,8,13,3,34
ZB.H18.E43,192,49,23,0,0,0,0,1,3,29,4,0,4,0,0,2,6,0,78,20,1,5,6,53,0,0,0,0,1,45
ZB.H2.E27,176,70,14,0,0,0,49,14,1,3,5,0,0,0,0,0,1,0,33,2,0,36,0,43,0,0,1,20,3,61
ZB.H20.E45,416,26,25,0,0,0,0,1,28,23,8,0,5,1,0,0,0,0,57,8,0,11,2,114,0,0,50,21,3,79
ZB.H21.E46,243,93,39,0,0,0,1,15,17,9,13,0,0,1,0,4,1,0,147,9,0,58,2,164,0,0,0,7,80,91
ZB.H3.E28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZB.H4.E29,263,82,8,0,0,0,0,75,103,2,6,0,3,0,0,0,0,0,105,5,0,6,9,27,0,0,25,3,3,46
